  No. Level     0     1     2     3     4     5     6     7     8     9 Entropy
    1     1    27    28    12     4     0     0     0     0     0    10 2.0531
    2     1    25    28    11     7     0     0     0     0     0    10 2.1222
    3     1    29    29    11     2     0     0     0     0     0    10 1.9567
    4     1    34    20    14     2     1     0     0     0     0    10 2.0444
    5     1    30    18    21     2     0     0     0     0     0    10 2.0223
    6     1    20    37    12     2     0     0     0     0     0    10 1.9272
    7     1    23    35    10     3     0     0     0     0     0    10 1.9601
    8     1    31    24    14     2     0     0     0     0     0    10 1.9924
    9     1    26    29    14     2     0     0     0     0     0    10 1.9989
   10     1    21    36    13     1     0     0     0     0     0    10 1.8993
  Ave     1 26.60 28.40 13.20  2.70  0.10  0.00  0.00  0.00  0.00 10.00 1.9977
