  No. Level     0     1     2     3     4     5     6     7     8     9 Entropy
    1     3    64   138   110    46    20     3     0     0     0    99 2.4225
    2     3    63   129   113    58    16     2     0     0     0    99 2.4199
    3     3    79   112   122    47    16     4     1     0     0    99 2.4583
    4     3    82   131    97    46    21     3     1     0     0    99 2.4688
    5     3    62   118   119    66    15     1     0     0     0    99 2.4160
    6     3    56   136   118    51    16     4     0     0     0    99 2.4093
    7     3    55   151   106    50    16     3     0     0     0    99 2.3832
    8     3    72   117   120    52    16     3     1     0     0    99 2.4519
    9     3    74   145    80    57    16     9     0     0     0    99 2.4743
   10     3    63   131   122    47    15     1     2     0     0    99 2.4038
  Ave     3 67.00 130.80 110.70 52.00 16.70  3.30  0.50  0.00  0.00 99.00 2.4308
