  No. Level     0     1     2     3     4     5     6     7     8     9 Entropy
    1     4   131   240   176    41     8     3     1     0     0   120 2.2569
    2     4   152   223   148    62    13     2     0     0     0   120 2.3302
    3     4   157   212   155    65     8     3     0     0     0   120 2.3246
    4     4   140   241   142    62    12     2     1     0     0   120 2.3205
    5     4   160   211   145    72    11     1     0     0     0   120 2.3351
    6     4   149   226   156    55    12     2     0     0     0   120 2.3094
    7     4   153   215   152    68    10     2     0     0     0   120 2.3309
    8     4   167   219   139    61    12     2     0     0     0   120 2.3239
    9     4   149   229   151    63     6     1     1     0     0   120 2.2908
   10     4   168   203   164    48    12     4     1     0     0   120 2.3356
  Ave     4 152.60 221.90 152.80 59.70 10.40  2.20  0.40  0.00  0.00 120.00 2.3158
