  No. Level     0     1     2     3     4     5     6     7     8     9 Entropy
    1     5     4    17    42    83   101    63    39    11     0   360 2.2927
    2     5     4    16    45    96    91    65    32    10     1   360 2.2901
    3     5     2    29    57    62   102    59    40     8     1   360 2.3167
    4     5     3    16    39    78    88    98    31     7     0   360 2.2528
    5     5     2    20    52    82    89    66    43     5     1   360 2.2926
    6     5     0    17    44    84   106    64    32    11     2   360 2.2683
    7     5     6    25    62    74    72    60    48    12     1   360 2.3709
    8     5     2    14    51    83   101    77    24     7     1   360 2.2481
    9     5     0    14    40    98   100    70    27     9     2   360 2.2365
   10     5     0    14    58    83   101    62    30    10     2   360 2.2650
  Ave     5  2.30 18.20 49.00 82.30 95.10 68.40 34.60  9.00  1.10 360.00 2.2834
